created_at,full_text,username,tweet_url,value,value_link_source
Wed Mar 06 00:30:38 +0000 2024,"['liputandotcom', 'tni', 'sbg', 'bagi', 'perintah', 'ngebela', 'perintah', 'meski', 'perintah', 'salah', 'kan', 'sejarah', 'selalu', 'ulang']",FridaPangastuti,https://twitter.com/FridaPangastuti/status/1765173108242346462,,
Wed Mar 06 00:28:21 +0000 2024,"['ottttoedy', 'malika', 'dpr', 'ri', 'pdi', 'juang', 'pksejahtera', 'dpp', 'pkb', 'nasdem', 'puspen', 'tni', 'kejaksaanri', 'kpk', 'ri', 'orang', 'awal', 'lihat', 'lugu', 'nyata', 'tipu']",samendusidik,https://twitter.com/samendusidik/status/1765172531013837165,,
Wed Mar 06 00:26:25 +0000 2024,"['msaid', 'didu', 'memang', 'makin', 'sini', 'makin', 'lain', 'orang', 'kayak', 'milik', 'negara', 'profesor', 'ulama', 'kyai', 'habib', 'kapolri', 'tni', 'semua', 'buat', 'tunduk', 'kaki']",BAlmujazi,https://twitter.com/BAlmujazi/status/1765172045158207916,,
Wed Mar 06 00:23:30 +0000 2024,"['lebih', 'telak', 'polri', 'utama', 'pisah', 'tni', 'kapolri', 'langsung', 'bawah', 'presiden', 'panglima', 'tni', 'bawah', 'menhan', 'zaman', 'orba', 'kapolri', 'posisi', 'bawah', 'panglima', 'tni']",NKRI_Nomor_1,https://twitter.com/NKRI_Nomor_1/status/1765171311528280286,,
Wed Mar 06 00:21:16 +0000 2024,"['deret', 'pati', 'bintang', 'tni', 'masuk', 'daftar', 'mutasi', 'baru', 'nomor', 'eks', 'kadiswatpersau', 'httpstcoyplrzzxx']",SINDOnews,https://twitter.com/SINDOnews/status/1765170748216508535,,
Wed Mar 06 00:19:53 +0000 2024,"['gue', 'baru', 'banget', 'nonton', 'kemaren', 'iya', 'telat', 'paling', 'ngakak', 'bor', 'telpon', 'emaknya', 'trus', 'pake', 'seragam', 'tni', 'wkkwkw']",ediblesunny,https://twitter.com/ediblesunny/status/1765170400869470463,,
Wed Mar 06 00:19:25 +0000 2024,"['satu', 'tiga', 'tuju', 'reformasi', 'hapus', 'dwi', 'fungsi', 'abri', 'tnipolri', 'korban', 'jiwa', 'darah', 'mahasiswaaktivisburuh', 'yang', 'aku', 'aktivis', 'dukung', 'jokowi', 'bawa', 'tni', 'amp', 'polri', 'masuk', 'perintah', 'sipil', 'nalar', 'all']",ZAEffendy,https://twitter.com/ZAEffendy/status/1765170283122721041,,
Wed Mar 06 00:14:32 +0000 2024,"['naik', 'pangkat', 'prabowo', 'subianto', 'protes', 'keras', 'prabowo', 'pecat', 'tni', 'kok', 'malah', 'naik', 'kan', 'pangkat', 'nya', 'prabowo', 'penculikpembunuhpelanggar', 'hamsumpah', 'prajuritsapta', 'marga', 'langgar', 'kode', 'etik', 'kpu', 'libat', 'kkn', 'libat', 'curang', 'pilpres', 'httpstcoxqvjucuu']",AsharIbnu,https://twitter.com/AsharIbnu/status/1765169055156277470,,
Wed Mar 06 00:12:10 +0000 2024,"['aiiptu', 'apresiasi', 'tni', 'polri', 'jaga', 'papua', 'tolakjadisimpatisankstp']",Anggita_lung,https://twitter.com/Anggita_lung/status/1765168460777291988,,
Wed Mar 06 00:09:31 +0000 2024,"['ottttoedy', 'malika', 'dpr', 'ri', 'pdi', 'juang', 'pksejahtera', 'dpp', 'pkb', 'nasdem', 'puspen', 'tni', 'kejaksaanri', 'kpk', 'ri', 'satu', 'keluarga', 'isi', 'wayang', 'semua', 'dalang', 'atur', 'semua']",herfan03,https://twitter.com/herfan03/status/1765167792314306846,,
Wed Mar 06 00:08:30 +0000 2024,"['viral', 'oknum', 'brimob', 'bentrok', 'tni', 'sumut', 'orang', 'anggota', 'babak', 'bur', 'httpstcoyznjgiaky']",OposisiCerdas,https://twitter.com/OposisiCerdas/status/1765167536143020469,,
Wed Mar 06 00:02:25 +0000 2024,"['magelang', 'danpussenarmed', 'mayjen', 'tni', 'naudi', 'nurdika', 'sip', 'httpstcoftxzpbxdmr', 'httpstcotknescr', 'han', 'laku', 'kunjung', 'kerja', 'batalyon', 'armed', 'naga', 'pakca', 'senin', 'httpstcoikursxgf']",yonarmed3,https://twitter.com/yonarmed3/status/1765166004035027274,,
Wed Mar 06 00:01:10 +0000 2024,"['hut', 'kostrad', 'mayjen', 'tni', 'soeharto', 'panglima', 'kostrad', 'pindah', 'markas', 'kostrad', 'senayan', 'dapat', 'informasi', 'aur', 'laku', 'pengebomanhttpstcodadiaucuj']",historia_id,https://twitter.com/historia_id/status/1765165690313461872,,
Tue Mar 05 23:55:26 +0000 2024,"['pensiun', 'polri', 'tni', 'rebut', 'jadi', 'jabat', 'sipilrakyat', 'gak', 'bagi', 'ank', 'muda', 'prestasi', 'sulit', 'berkarirkecuali', 'punya', 'bapak', 'paman']",RohiminSamuni,https://twitter.com/RohiminSamuni/status/1765164246932082847,,
Tue Mar 05 23:55:03 +0000 2024,"['tni', 'tetap', 'solid', 'lihat', 'video', 'httpstcoplkvly', 'tiktok', 'httpstcokqwugzsmf']",Giselcantik21,https://twitter.com/Giselcantik21/status/1765164152052736316,,
Tue Mar 05 23:50:01 +0000 2024,"['dennysiregar', 'andai', 'ujung', 'mmbatalkan', 'hasil', 'milu', 'smpe', 'tengah', 'oktober', 'harus', 'milu', 'ulang', 'akan', 'trjadi', 'kosong', 'mandat', 'presiden', 'mgkin', 'mmperpanjang', 'mandat', 'presiden', 'lalu', 'sidang', 'istimewa', 'slama', 'th', 'panglima', 'tni', 'pilih', 'jokowi', 'ambil', 'alih']",VickyZen52,https://twitter.com/VickyZen52/status/1765162886253646173,,
Tue Mar 05 23:50:00 +0000 2024,"['almarhum', 'letjen', 'tni', 'purn', 'solihin', 'nilai', 'layak', 'dapat', 'gelar', 'pahlawan', 'nasional', 'httpstcokpljaxjs']",officialinews_,https://twitter.com/officialinews_/status/1765162879345664060,,
Tue Mar 05 23:48:35 +0000 2024,"['personel', 'satbrimob', 'polda', 'kalsel', 'sukses', 'raih', 'prestasi', 'rebut', 'juara', 'kyorugi', 'mula', 'tni', 'polri', 'kelas', 'u', 'u', 'kejurnas', 'taekwondo', 'kapolri', 'cup', 'gor', 'ahmad', 'yani', 'mabes', 'tni', 'cilangkap', 'jakarta', 'timur', 'ikut', 'kontingen', 'tni', 'polri', 'indonesia', 'httpstcozwnvooy']",Brimobda_Kalsel,https://twitter.com/Brimobda_Kalsel/status/1765162524272631867,,
Tue Mar 05 23:45:12 +0000 2024,"['prestasi', 'profesional', 'responsif', 'tangguh', 'solid', 'cinta', 'rakyat', 'tni', 'ad', 'puspen', 'tni', 'penkostrad', 'prabowo', 'prabowosubianto', 'menhanprabowo', 'jenderalprabowo', 'ksad', 'pangkostrad', 'kemhan', 'kemhanri', 'hutkostrad']",Kemhan_RI,https://twitter.com/Kemhan_RI/status/1765161673487499675,,
Tue Mar 05 23:43:43 +0000 2024,"['khotimskuy', 'nilai', 'barang', 'rumah', 'kendara', 'lebih', 'satu', 'punya', 'mobil', 'keluarga', 'ada', 'tni', 'polisi', 'pns', 'jadi', 'timbang']",artzamers,https://twitter.com/artzamers/status/1765161299049378052,,
Tue Mar 05 23:41:39 +0000 2024,"['dirgahayu', 'komando', 'cadang', 'strategis', 'angkat', 'darat', 'rri', 'tniprima', 'tni', 'tniad', 'kostrad', 'cakra', 'hutkekostrad', 'pangkostrad', 'kaskostrad', 'pendivifkostrad', 'pendivifkostrad', 'pendivifkostrad', 'kostradpeduli', 'kostradberbagi', 'kostradhadiruntukrakyat', 'httpstcoyvcoqbhu']",Cakra_Kostrad,https://twitter.com/Cakra_Kostrad/status/1765160779081547986,,
Tue Mar 05 23:36:27 +0000 2024,"['tni', 'ad', 'butuh', 'pimpin', 'profesional', 'sejati', 'tubuh', 'tni', 'jiwa', 'korsa', 'benar', 'benar', 'salah', 'salah', 'apa', 'taruh', 'sedih', 'lihat', 'tni', 'diobok', 'obok', 'kuasa', 'penting', 'kuasa', 'harus', 'rakyat', 'untuk', 'negara', 'amp', 'konstitusi', 'dirgahayu', 'kostrad']",pms_bf,https://twitter.com/pms_bf/status/1765159472450994545,,
Tue Mar 05 23:36:26 +0000 2024,"['rapim', 'kodam', 'ibukit', 'baris', 'tahun', 'rupa', 'lanjut', 'rapat', 'pimpin', 'tni', 'februari', 'lalu', 'baca', 'lengkap', 'httpstcopezrcmzb', 'kabarterkini', 'percaya', 'promedia', 'httpstcobbtpmmfdu']",Timenewscoid,https://twitter.com/Timenewscoid/status/1765159466637676925,,
Tue Mar 05 23:35:35 +0000 2024,"['pak', 'mendagri', 'kemendagri', 'ri', 'pak', 'menteri', 'kempanrb', 'pak', 'listyosigitp', 'pak', 'puspen', 'tni', 'gimana', 'dong', 'juga', 'pak', 'jokowi', 'pak', 'prabowo', 'kemenhan']",evi_sufiani,https://twitter.com/evi_sufiani/status/1765159253369835627,,
Tue Mar 05 23:33:57 +0000 2024,"['ajengcute', 'lah', 'gimana', 'banyak', 'lho', 'tni', 'konflik', 'agraria', 'sama', 'masyarakat']",Paitrichjoseph1,https://twitter.com/Paitrichjoseph1/status/1765158840897814667,,
Tue Mar 05 23:31:32 +0000 2024,"['komandan', 'korps', 'marinir', 'mayjen', 'tni', 'mar', 'endi', 'supardi', 'httpstcowsvicopsla', 'chrmp', 'crmp', 'serta', 'seluruh', 'prajurit', 'tarung', 'korps', 'marinir', 'ucap', 'dirgahayu', 'kostrad', 'maret', 'cakra', 'kostrad', 'tni', 'ad', 'httpstcozwtchn']",marinir_tni_al,https://twitter.com/marinir_tni_al/status/1765158234456003040,,
Tue Mar 05 23:31:15 +0000 2024,"['komandan', 'korem', 'tadulako', 'serta', 'keluarga', 'besar', 'korem', 'tadulako', 'ucap', 'dirgahayu', 'komando', 'cadang', 'strategis', 'angkat', 'darat', 'tarung', 'militan', 'jaga', 'daulat', 'nkri', 'puspentni', 'tni', 'angkat', 'darat', 'kodammerdeka', 'httpstcohrildlpd']",korem132palu,https://twitter.com/korem132palu/status/1765158162120990829,,
Tue Mar 05 23:30:12 +0000 2024,"['esteh', 'mohon', 'yth', 'pihak', 'wajib', 'usut', 'tuntas', 'seret', 'laku', 'terap', 'hukum', 'jangan', 'lagi', 'tunas', 'bangsa', 'tular', 'virus', 'kejam', 'kaya', 'pki', 'aja', 'main', 'koyok', 'kelas', 'kaya', 'rimba', 'bravo', 'tni', 'polri']",ADarbita10734,https://twitter.com/ADarbita10734/status/1765157897724710985,,
Tue Mar 05 23:25:59 +0000 2024,"['htklnl', 'prabowo', 'jokowi', 'sayang', 'petinggi', 'aktif', 'tni', 'polri', 'lebih', 'takut', 'siapa', 'ngangkatpadahal', 'waktu', 'angkat', 'sumpah', 'pake', 'kitab', 'suci', 'agamanyaharusnya', 'takut', 'punya', 'kitab', 'suci', 'paktuhan']",AmarS37198,https://twitter.com/AmarS37198/status/1765156837857611782,,
Tue Mar 05 23:23:39 +0000 2024,"['dirgahayu', 'komando', 'cadang', 'strategis', 'angkat', 'darat', 'tanggal', 'maret', 'maret', 'yudha', 'nirbaya', 'bhakti', 'tniaddihatirakyat', 'tniadprima', 'httpstcofrlghejhdu']",tni_ad,https://twitter.com/tni_ad/status/1765156250579550655,,
Tue Mar 05 23:21:21 +0000 2024,"['menhan', 'aktif', 'milik', 'track', 'record', 'masalah', 'tni', 'lalu', 'bpk', 'jokowi', 'prabowo', 'gibran', 'tweet', 'ber', 'perilaku', 'primitif', 'bodoh', 'rakyat', 'program', 'makan', 'tengah', 'gagal', 'sejahtera', 'rakyat', 'video', 'lengkap', 'httpstconltbyfzprb', 'fnn', 'channel', 'youtube', 'httpstconapshuns']",MPR_SBY,https://twitter.com/MPR_SBY/status/1765155672310919392,,
Tue Mar 05 23:19:31 +0000 2024,"['bennyharmanid', 'menteri', 'belum', 'mantan', 'panglima', 'tni', 'pangkat', 'jenderal', 'seperti', 'hasil', 'berantas', 'mafia', 'tanah', 'kira', 'menteri', 'baru', 'eks', 'tni', 'pangkat', 'mayor', 'nggak']",RajaMandiri70,https://twitter.com/RajaMandiri70/status/1765155209196765498,,
Tue Mar 05 23:18:06 +0000 2024,"['ottttoedy', 'malika', 'dpr', 'ri', 'pdi', 'juang', 'pksejahtera', 'dpp', 'pkb', 'nasdem', 'puspen', 'tni', 'kejaksaanri', 'kpk', 'ri', 'nauzubillah', 'mau', 'ikut', 'tolol', 'bajinganitu']",agbudisan,https://twitter.com/agbudisan/status/1765154853050036501,,
Tue Mar 05 23:17:12 +0000 2024,"['hebat', 'prajurit', 'poltekad', 'raih', 'wisudawan', 'baik', 'universitas', 'brawijaya', 'httpstcogocnb', 'httpstcoqshxxe']",tni_ad,https://twitter.com/tni_ad/status/1765154627228680275,,
Tue Mar 05 23:17:11 +0000 2024,"['httpstcooboubzth', 'fakta', 'bukan', 'hoax', 'bukan', 'fitnah', 'prabowo', 'subianto', 'pecat', 'hormat', 'tni', 'biar', 'prabowo', 'pimpin', 'indonesia']",AsharIbnu,https://twitter.com/AsharIbnu/status/1765154622354939950,,
Tue Mar 05 23:13:52 +0000 2024,"['krzvnism', 'lilaccountz', 'bank', 'mas', 'solusi', 'beneran', 'nama', 'bank', 'mas']",RayTNI,https://twitter.com/RayTNI/status/1765153787763958050,,
Tue Mar 05 23:12:51 +0000 2024,"['fagtng', 'mantap', 'harus', 'ini', 'siapa', 'milik', 'hati', 'nuranipasti', 'geram', 'lihat', 'curang', 'proses', 'pilih', 'pimpin', 'rakyat', 'bukan', 'masalah', 'menang', 'kalah', 'lebih', 'lihat', 'jurdil', 'proses', 'tanding', 'benar', 'ngak', 'puspen', 'tni']",MhdHida70558206,https://twitter.com/MhdHida70558206/status/1765153530292428824,,
Tue Mar 05 23:11:10 +0000 2024,"['gus', 'dur', 'kirim', 'tni', 'barak', 'jokowi', 'malah', 'tarik', 'tengah', 'sipil', 'httpstcogxdpshim']",TirtoID,https://twitter.com/TirtoID/status/1765153109070991435,,
Tue Mar 05 23:09:16 +0000 2024,"['dulu', 'dulu', 'milih', 'jokowi', 'lawan', 'prabowo', 'prabowo', 'jahat', 'ham', 'arogan', 'haus', 'kuasa', 'mentingin', 'bisnis', 'sendiri', 'kalo', 'dipujapuji', 'loyal', 'sama', 'bawah', 'tni', 'mereka', 'bawah', 'kalo', 'dulu', 'lawan', 'selain', 'prabowo', 'gua', 'gak', 'bakal', 'milih', 'jokowi']",Purplewithyell1,https://twitter.com/Purplewithyell1/status/1765152628231848441,,
